k, c, x, y
100, 1, 1, 1
k, c, x, y
100, 2, 5, 2
k, c, x, y
100, 3, 14, 3
k, c, x, y
100, 4, 30, 4
k, c, x, y
100, 5, 55, 5
k, c, x, y
100, 6, 91, 6
k, c, x, y
100, 7, 140, 7
k, c, x, y
100, 8, 204, 8
k, c, x, y
100, 9, 285, 9
k, c, x, y
100, 10, 385, 10
k, c, x, y
100, 11, 506, 11
k, c, x, y
100, 12, 650, 12
k, c, x, y
100, 13, 819, 13
k, c, x, y
100, 14, 1015, 14
k, c, x, y
100, 15, 1240, 15
k, c, x, y
100, 16, 1496, 16
k, c, x, y
100, 17, 1785, 17
k, c, x, y
100, 18, 2109, 18
k, c, x, y
100, 19, 2470, 19
k, c, x, y
100, 20, 2870, 20
k, c, x, y
100, 21, 3311, 21
k, c, x, y
100, 22, 3795, 22
k, c, x, y
100, 23, 4324, 23
k, c, x, y
100, 24, 4900, 24
k, c, x, y
100, 25, 5525, 25
k, c, x, y
100, 26, 6201, 26
k, c, x, y
100, 27, 6930, 27
k, c, x, y
100, 28, 7714, 28
k, c, x, y
100, 29, 8555, 29
k, c, x, y
100, 30, 9455, 30
k, c, x, y
100, 31, 10416, 31
k, c, x, y
100, 32, 11440, 32
k, c, x, y
100, 33, 12529, 33
k, c, x, y
100, 34, 13685, 34
k, c, x, y
100, 35, 14910, 35
k, c, x, y
100, 36, 16206, 36
k, c, x, y
100, 37, 17575, 37
k, c, x, y
100, 38, 19019, 38
k, c, x, y
100, 39, 20540, 39
k, c, x, y
100, 40, 22140, 40
k, c, x, y
100, 41, 23821, 41
k, c, x, y
100, 42, 25585, 42
k, c, x, y
100, 43, 27434, 43
k, c, x, y
100, 44, 29370, 44
k, c, x, y
100, 45, 31395, 45
k, c, x, y
100, 46, 33511, 46
k, c, x, y
100, 47, 35720, 47
k, c, x, y
100, 48, 38024, 48
k, c, x, y
100, 49, 40425, 49
k, c, x, y
100, 50, 42925, 50
k, c, x, y
100, 51, 45526, 51
k, c, x, y
100, 52, 48230, 52
k, c, x, y
100, 53, 51039, 53
k, c, x, y
100, 54, 53955, 54
k, c, x, y
100, 55, 56980, 55
k, c, x, y
100, 56, 60116, 56
k, c, x, y
100, 57, 63365, 57
k, c, x, y
100, 58, 66729, 58
k, c, x, y
100, 59, 70210, 59
k, c, x, y
100, 60, 73810, 60
k, c, x, y
100, 61, 77531, 61
k, c, x, y
100, 62, 81375, 62
k, c, x, y
100, 63, 85344, 63
k, c, x, y
100, 64, 89440, 64
k, c, x, y
100, 65, 93665, 65
k, c, x, y
100, 66, 98021, 66
k, c, x, y
100, 67, 102510, 67
k, c, x, y
100, 68, 107134, 68
k, c, x, y
100, 69, 111895, 69
k, c, x, y
100, 70, 116795, 70
k, c, x, y
100, 71, 121836, 71
k, c, x, y
100, 72, 127020, 72
k, c, x, y
100, 73, 132349, 73
k, c, x, y
100, 74, 137825, 74
k, c, x, y
100, 75, 143450, 75
k, c, x, y
100, 76, 149226, 76
k, c, x, y
100, 77, 155155, 77
k, c, x, y
100, 78, 161239, 78
k, c, x, y
100, 79, 167480, 79
k, c, x, y
100, 80, 173880, 80
k, c, x, y
100, 81, 180441, 81
k, c, x, y
100, 82, 187165, 82
k, c, x, y
100, 83, 194054, 83
k, c, x, y
100, 84, 201110, 84
k, c, x, y
100, 85, 208335, 85
k, c, x, y
100, 86, 215731, 86
k, c, x, y
100, 87, 223300, 87
k, c, x, y
100, 88, 231044, 88
k, c, x, y
100, 89, 238965, 89
k, c, x, y
100, 90, 247065, 90
k, c, x, y
100, 91, 255346, 91
k, c, x, y
100, 92, 263810, 92
k, c, x, y
100, 93, 272459, 93
k, c, x, y
100, 94, 281295, 94
k, c, x, y
100, 95, 290320, 95
k, c, x, y
100, 96, 299536, 96
k, c, x, y
100, 97, 308945, 97
k, c, x, y
100, 98, 318549, 98
k, c, x, y
100, 99, 328350, 99
k, c, x, y
100, 100, 338350, 100
k, c, x, y
