[{w0: 283, w1: 79, x: -15, y: -6, z: 3}]
[{w0: -204, w1: 1758, x: 4, y: -2, z: 12}]
[{w0: -181, w1: 1164, x: -19, y: -2, z: -10}]
[{w0: -1704, w1: 849, x: 10, y: -20, z: 9}]
[{w0: -283, w1: 18, x: -4, y: 1, z: 0}]
[{w0: 479, w1: 905, x: -8, y: -13, z: 9}]
[{w0: -239, w1: 1822, x: -1, y: 6, z: 12}]
[{w0: -86, w1: 271, x: -13, y: -3, z: -5}]
[{w0: -184, w1: -21, x: -1, y: -5, z: -1}]
[{w0: -1184, w1: 2915, x: -6, y: 20, z: 15}]
[{w0: 663, w1: 140, x: 8, y: 11, z: -2}]
[{w0: 841, w1: 106, x: 9, y: 12, z: 0}]
[{w0: -227, w1: 1911, x: 0, y: -11, z: -13}]
[{w0: -59, w1: 25, x: 9, y: 0, z: 1}]
[{w0: 29, w1: 68, x: 7, y: 2, z: -2}]
[{w0: 501, w1: 105, x: 7, y: 10, z: 1}]
[{w0: 1147, w1: 364, x: -17, y: -12, z: 6}]
[{w0: -284, w1: 3403, x: 9, y: -3, z: -17}]
[{w0: 53, w1: 987, x: 5, y: 4, z: -9}]
[{w0: 239, w1: 618, x: -4, y: -17, z: -8}]
[{w0: -744, w1: 245, x: 8, y: -10, z: 5}]
[{w0: 607, w1: 414, x: 3, y: 28, z: -4}]
[{w0: -954, w1: 633, x: -11, y: 7, z: -7}]
[{w0: -376, w1: 392, x: 10, y: -4, z: -6}]
[{w0: 121, w1: 504, x: 3, y: 10, z: -6}]
[{w0: -239, w1: 205, x: 0, y: -15, z: 5}]
[{w0: -575, w1: 1447, x: 11, y: -6, z: 11}]
[{w0: 699, w1: 2384, x: 11, y: 8, z: -14}]
[{w0: -210, w1: 198, x: 10, y: -2, z: 4}]
[{w0: 1753, w1: 2111, x: 15, y: 14, z: -13}]
[{w0: -1133, w1: 10828, x: 16, y: -9, z: 30}]
[{w0: 113, w1: -31, x: -8, y: -7, z: 1}]
[{w0: -170, w1: 2063, x: 0, y: 8, z: -13}]
[{w0: -246, w1: 17, x: -7, y: -1, z: 1}]
[{w0: -370, w1: 51, x: -4, y: 4, z: -1}]
[{w0: 256, w1: 229, x: -6, y: -12, z: 5}]
[{w0: 205, w1: 979, x: 10, y: 3, z: -9}]
[{w0: 391, w1: 139, x: 4, y: 15, z: -1}]
[{w0: -172, w1: 392, x: -2, y: -4, z: -6}]
[{w0: -164, w1: 325, x: 2, y: 0, z: 5}]
[{w0: 3097, w1: 6097, x: -19, y: -24, z: -23}]
[{w0: 111, w1: 3585, x: 4, y: 7, z: 17}]
[{w0: -221, w1: 2248, x: 0, y: -9, z: -14}]
[{w0: -176, w1: 2368, x: 0, y: 6, z: -14}]
[{w0: -155, w1: 723, x: 0, y: 13, z: 7}]
