      w0,       x,       y
    -535,     -12,      -2
     793,      14,      27
    -307,       2,       8
    -335,       8,       3
    -559,     -12,       1
    -257,      19,       2
     343,      21,      12
     123,       5,      22
    -287,      22,       1
    -419,       1,       3
     133,      25,       7
    -767,      16,      -8
    -447,       2,       1
    -615,      14,      -5
    -695,       6,      -9
    -391,      -4,      14
    -303,       8,       4
    -327,      12,       2
    -327,      12,       2
     513,      12,      23
    -131,      14,       6
   -1877,      19,     -28
     433,      22,      13
    -277,      -3,      22
    -891,      18,     -10
    -467,       2,       0
      51,       9,      14
    -407,      -2,       7
    -623,       8,      -6
     625,      24,      15
     773,      17,      23
    -351,       0,       8
    -347,      22,       0
      33,      12,      11
    -287,       2,       9
    -179,      -2,      26
    -475,      18,      -2
     341,      23,      11
     697,      26,      15
     669,      18,      20
    -257,       1,      12
    1153,      20,      27
    2263,      37,      28
    -413,      -5,      16
     513,      12,      23
    -401,      -1,       6
    -401,      13,       0
    -519,      -4,      -2
    -413,      -5,      16
     117,       6,      20
    -319,       5,       5
    -197,       7,       8
    -959,      16,     -12
     463,      37,       8
    -365,      19,       0
     355,      13,      18
     121,      10,      15
    -423,       5,       1
     673,      17,      21
    -395,       3,       3
    -697,     -13,      14
      73,      12,      12
    -387,       2,       4
    -367,       0,       7
    -175,       0,      19
     553,      10,      27
      81,      11,      13
    -317,       7,       4
     121,      19,       9
     385,      11,      21
    -109,       3,      16
    -527,      -8,      27
     -77,       7,      12
    -629,       9,      -6
     309,      14,      16
    -455,      -2,       3
    -317,       7,       4
    -137,       5,      12
    -319,       0,      10
     481,      10,      25
    -527,      -8,      15
      45,      18,       8
    -625,      -1,     -10
     117,      15,      11
      73,      17,       9
    -197,       7,       8
    -191,       6,       9
     -23,      13,       9
     265,      25,       9
    -461,       3,       0
     -47,       8,      12
    -847,       8,     -13
    1345,      28,      23
    -459,      -6,      14
    -443,      -5,      11
    -559,       8,      -4
      33,       6,      17
     -67,      15,       7
     425,      26,      11
    -189,       5,      10
     461,      18,      16
    1213,      22,      26
    -159,      15,       5
    -167,      12,       6
     -77,       7,      12
    -163,       5,      11
    -515,      -2,      -2
     -27,      17,       7
     337,      10,      21
     369,       8,      25
