      w0,       x,       y,       z
    7144,      -2,      20,      19
       6,      17,      -2,       2
   15882,      19,      34,      16
      -7,      -5,       3,       7
     -47,      23,      -1,      15
    3415,       3,      13,      16
    1939,       9,      13,       4
     172,       6,       2,      14
    2244,      12,      24,     -12
    2615,      16,       9,      21
    6958,      23,      24,       7
     236,       0,       4,       8
    2880,      16,      14,       8
    1626,      17,       8,      13
    1216,      22,       8,       7
    1340,      16,       6,      17
     800,      38,       8,      -1
    1802,      29,       4,      37
    4434,      -3,      16,      15
     660,       6,       6,       8
    1291,      12,       7,      13
   11087,     -31,      31,      10
    -300,      -4,      -4,       4
    -229,      15,      -1,      22
    2648,      18,      16,       2
    2530,      21,      16,       1
     647,      16,       7,       3
    -477,       9,      -5,      12
    4301,      10,      21,       2
    1179,      39,       7,       6
    -504,     -10,      -4,       7
      31,       2,       3,       5
      25,      -7,       3,       9
    -415,      -2,      -3,       8
    2456,      22,      22,      -9
     525,       2,       5,      10
   11897,      31,      27,      19
   10453,       5,      27,      15
    -460,       8,      -2,      19
    8417,       4,      21,      22
    3707,      -4,      13,      19
     453,      15,       3,      13
   10047,      16,      23,      23
    6275,      16,      21,      11
     -63,      24,      -1,      18
     345,      21,       9,      -5
    3315,      21,       9,      28
     840,       6,       4,      21
     884,       4,      22,     -15
     283,      24,      -5,       1
    8815,      12,      25,      13
    -320,       8,       2,     -12
     969,       9,       7,       9
     100,       8,       2,       9
     766,       7,       8,       4
     307,      15,       5,       2
     162,      21,       8,      -6
      98,      15,       2,       4
     656,       2,       2,      41
    9838,      -5,      28,      11
   10660,      -4,      24,      24
   14837,      11,      37,       7
    3923,      13,       9,      36
      45,       7,       5,      -1
    5584,      14,      18,      15
    4514,       3,      10,      38
   19304,      22,      36,      21
     658,      -1,      10,       0
     533,      20,      13,      -8
    4751,      15,      19,       8
    1809,      -6,       7,      24
    4700,      16,      16,      15
    9670,       3,      22,      25
    7489,       7,      19,      23
     963,      23,      11,      -2
    4798,      13,      14,      22
    -201,       9,      -3,       6
    6804,      12,      26,       3
    1585,      13,       7,      17
    -101,      14,      -3,       5
    1937,      19,       9,      13
    5218,      23,      14,      24
    3193,      33,      11,      17
    1871,      32,      13,       1
    1108,      20,      12,      -2
    -341,      -1,      -3,       6
    5738,      25,      18,      15
    1512,      10,      10,       7
    2726,      11,      20,      -4
    3821,     -18,      17,      10
     684,       8,     -20,      14
     575,      28,       3,      11
    -172,       4,       0,      17
     568,       8,       6,       6
     497,       1,       3,      21
    9787,       9,      31,       4
     169,      27,       1,       1
       7,      14,      -1,      -3
     134,     -17,     -10,       3
    -343,     -14,      -3,       0
    1680,       6,      16,      -3
    8738,      15,      22,      20
    2523,       3,      21,      -6
    2530,       1,      14,       7
    3467,      16,      13,      15
    2517,       9,       9,      21
    1095,       7,       5,      20
    1752,       6,      12,       5
    1308,      24,      10,       3
      -4,      16,       0,      21
     561,      10,      11,      -4
    3077,      16,      13,      12
    -780,      28,      -8,      19
    5238,       3,      24,       1
    4637,      10,      15,      18
    1618,     -11,      10,      11
    5687,       4,      21,       9
      46,       7,      -2,      -7
     260,     -12,       8,       1
     415,      12,       5,       5
    1899,      18,      15,      -1
     -79,       0,       1,      14
    -172,       4,       0,      13
    -242,      -1,       0,       3
     -67,      18,      -1,      10
     178,      29,       0,      -5
     870,      21,       6,       8
    3723,       9,      15,      12
    -821,       2,      -9,      15
    1272,     -14,       8,      14
    1180,      16,      16,      -7
   16523,       9,      35,      16
     177,       9,      -9,       5
    1130,      11,      14,      -4
    4529,      -1,      13,      25
    -216,      14,      -2,      11
     908,       8,      16,      -8
    3915,      13,      17,       8
    3314,      19,      18,       2
    1543,      20,       7,      15
   10318,       3,      26,      17
    3596,      16,      20,       0
    2557,      19,      11,      13
     790,      11,       4,      18
    4046,       7,      18,       7
   -1030,      13,     -12,      19
    1291,      -3,       7,      16
    2892,      16,       8,      29
    -124,       0,       4,      -1
    2147,       0,      25,     -13
    4313,      19,      15,      15
    -158,       5,       0,       9
     812,      16,       8,       3
    6030,       1,      14,      32
     997,       0,       5,      20
    6606,      15,      24,       6
    2233,       8,       9,      18
   13675,      23,      27,      26
    7247,      25,      15,      34
    1423,       8,       9,       9
    4646,       7,      12,      29
    1531,      17,      13,       0
     359,       8,       5,       5
     352,      14,       6,       1
   16111,       5,      29,      30
     837,      14,      11,      -2
   10860,       8,      28,      14
    6447,      14,      19,      17
    4280,      -2,      18,       9
    6768,      14,      20,      16
    -109,       5,       1,       4
    -137,      15,       7,      -8
    2638,      15,       8,      26
   11182,      11,      28,      15
    1520,      16,       6,      20
    3184,      14,      12,      16
      96,      30,       4,      -6
    5652,      20,      20,      10
     -18,      15,       0,      -8
     136,      10,       4,       2
    -219,       5,      -1,       7
     175,       2,      -5,      -3
    -287,      -2,      -1,       4
    1410,      -9,       6,      24
    8375,       1,      21,      22
    1906,      17,      12,       5
    -463,      10,       5,     -12
    -957,      14,      -5,      23
     753,      30,       3,      16
    -228,       0,       0,       0
     866,      -3,       8,       7
    5606,      27,      22,       5
    6312,      -6,      16,      27
     -65,      23,       3,      -8
    2048,      10,      12,       7
    -212,       8,      -6,       7
    1335,      21,       9,       6
    3880,       8,      18,       6
    6698,       9,      20,      16
    1613,      15,       7,      17
    2411,      32,       7,      25
     161,      25,       1,       3
    7216,       2,      18,      25
     -60,      12,       0,      14
    6485,       1,      21,      13
    4446,       7,      22,       1
    1288,      10,       8,      10
      12,       4,      -4,      -1
     -69,      20,      -1,      13
    2415,      21,       9,      18
     735,      17,       5,      10
    2868,       0,      18,       1
    2589,       3,      15,       5
    6254,      17,      14,      32
    4036,      20,      24,      -5
    3049,       7,      11,      19
      73,      10,       7,      -4
    -579,     -15,      -1,      15
    4210,       1,      14,      19
    4882,       9,      14,      23
     425,      13,       3,      13
    9495,      -7,      23,      22
    6082,      11,      18,      18
    2245,       3,      17,      -1
    9222,      31,      28,       7
   10635,      18,      27,      15
    -279,      10,      -1,      20
    -270,       3,       2,      -6
    1042,       5,      10,       3
    2192,      16,      18,      -4
     -47,       5,       3,       1
     468,       0,      12,      -5
    5110,      11,      24,       0
    4168,      14,      20,       3
