      w0,      w1,       x,       y
    2085,     -21,     -17,      29
     195,     -35,       4,      15
    4677,     -27,      25,      23
     924,     -24,      10,      26
    1609,     -49,      15,       1
    2904,     -14,      19,      36
    3172,     -48,      21,       2
     195,     -35,       4,      15
    1788,     -54,      16,      -4
     -98,     -52,       0,      -2
    2647,     -13,      18,      37
     148,     -48,      -6,       2
      55,     -35,       0,      15
      10,     -40,       0,      10
     -39,     -47,      -2,       3
     676,     -36,       9,      14
    1959,     -35,      16,      15
     604,     -44,       9,       6
    2995,     -35,      20,      15
      55,     -35,       0,      15
    1528,     -58,      15,      -8
     708,     -48,      10,       2
     748,     -28,       9,      22
     184,     -44,       5,       6
     465,     -33,       7,      17
    1824,     -50,      16,       0
     487,     -43,       8,       7
     141,     -41,       4,       9
      87,     -33,       1,      17
    2134,     -42,      17,       8
      -5,     -51,       3,      -1
      73,     -33,       0,      17
     268,     -44,       6,       6
    1534,     -34,      14,      16
     970,     -36,      11,      14
      58,     -44,      -4,       6
    9879,     -37,      37,      13
    7303,     -51,      32,      -1
     595,     -45,       9,       5
    9780,     -48,      37,       2
    5347,     -35,      27,      15
     214,     -50,      -7,       0
    4668,     -28,      25,      22
       4,     -50,       3,       0
    3325,     -31,      21,      19
    1860,     -46,      16,       4
     879,     -29,      10,      21
    2170,     -66,      18,     -16
    2512,     -28,      18,      22
    1012,     -50,      12,       0
     169,     -55,      -7,      -5
    2724,     -34,      19,      16
    1102,     -40,      12,      10
    1453,     -43,      14,       7
    4659,     -29,      25,      21
     184,     -44,      -6,       6
     838,     -18,       9,      32
     925,     -41,      11,       9
     376,     -32,       6,      18
    1212,     -48,      13,       2
    1887,     -43,      16,       7
     141,     -41,       4,       9
    2287,     -53,      18,      -3
     505,     -41,       8,       9
      19,     -39,      -1,      11
      76,     -42,       3,       8
    1986,     -32,     -17,      18
     166,     -46,       5,       4
     694,     -34,       9,      16
     265,     -35,      -6,      15
    1564,     -54,      15,      -4
      22,     -48,      -4,       2
     168,     -38,       4,      12
     541,     -51,       9,      -1
    1797,     -53,      16,      -3
     -71,     -49,      -1,       1
    3874,     -40,      23,      10
     313,     -39,       6,      11
      49,     -45,      -4,       5
      73,     -33,      -1,      17
    7675,     -61,      33,     -11
      33,     -39,      -2,      11
     550,     -36,       8,      14
     772,     -58,     -12,      -8
    -120,     -56,       1,      -6
    1708,     -38,      15,      12
    3964,     -30,      23,      20
    3370,     -26,      21,      24
    4389,     -59,      25,      -9
     763,     -59,     -12,      -9
    4102,     -52,      24,      -2
     132,     -42,      -5,       8
    1219,     -27,      12,      23
     870,     -30,      10,      20
      96,     -32,      -2,      18
    1590,      -6,      13,      44
    1471,     -41,     -15,       9
     312,     -50,       7,       0
    2625,     -45,      19,       5
    1491,     -17,      13,      33
     438,     -36,       7,      14
     -14,     -52,      -4,      -2
     357,     -45,       7,       5
    2589,     -49,      19,       1
    1932,     -38,      16,      12
     247,     -37,       5,      13
    1941,     -37,      16,      13
     739,     -15,      -9,      35
     249,     -29,      -5,      21
    1552,     -32,      14,      18
    -215,     -65,       0,     -15
    1708,     -38,      15,      12
      58,     -44,       3,       6
     798,     -38,      10,      12
     694,     -20,       8,      30
     -89,     -51,      -1,      -1
    2013,     -29,      16,      21
    2179,     -37,      17,      13
     550,     -36,       8,      14
     301,     -31,       5,      19
    -128,     -60,      -3,     -10
    7774,     -50,      33,       0
      60,     -50,       4,       0
    3919,     -35,      23,      15
     997,     -33,      11,      17
     478,     -44,       8,       6
    4165,     -45,      24,       5
     703,     -19,       8,      31
    1293,     -39,      13,      11
    1219,     -27,      12,      23
      96,     -46,       4,       4
     240,     -30,       4,      20
    4390,     -20,      24,      30
     577,     -33,       8,      17
    2440,     -36,      18,      14
     109,     -29,      -1,      21
      69,     -49,      -5,       1
    1905,     -41,      16,       9
     402,     -40,       7,      10
     159,     -39,       4,      11
    3316,     -32,      21,      18
      25,     -43,       2,       7
     604,     -44,       9,       6
    4018,     -24,      23,      26
    2995,     -35,      20,      15
     672,     -52,      10,      -2
      69,     -49,      -5,       1
    3802,     -48,      23,       2
     313,     -39,       6,      11
      37,     -37,       0,      13
     667,     -23,       8,      27
     366,     -44,       7,       6
    -143,     -57,       0,      -7
     123,     -43,       4,       7
     150,     -40,       4,      10
    2815,     -55,      20,      -5
     703,     -33,     -10,      17
     148,     -34,      -4,      16
     258,     -28,       4,      22
   13308,     -34,      43,      16
    1816,     -26,      15,      24
     175,     -45,       5,       5
    1950,     -36,      16,      14
    4425,     -55,      25,      -5
     175,     -31,       3,      19
    3094,     -24,      20,      26
    1446,     -22,      13,      28
     375,     -43,       7,       7
     613,     -43,       9,       7
    3208,     -44,      21,       6
     853,     -49,      11,       1
     202,     -42,       5,       8
      51,     -51,       4,      -1
     229,     -39,       5,      11
    1906,     -16,      15,      34
    3022,     -32,      20,      18
    3901,     -37,      23,      13
     730,     -30,       9,      20
     775,     -25,       9,      25
   11508,     -38,      40,      12
    1699,     -39,      15,      11
    2035,     -53,      17,      -3
    3094,     -24,      20,      26
    1627,     -47,      15,       3
    1210,     -28,      12,      22
    4533,     -43,      25,       7
     978,     -18,     -11,      32
    3127,     -53,      21,      -3
    2242,     -30,      17,      20
    3208,     -44,      21,       6
     114,     -44,       4,       6
     826,     -52,      11,      -2
     739,     -29,       9,      21
    1981,     -59,      17,      -9
     130,     -50,       5,       0
     970,     -36,      11,      14
     364,     -24,       5,      26
    1408,     -48,      14,       2
    1300,     -18,      12,      32
    6181,     -31,      29,      19
    3067,     -27,      20,      23
     708,     -48,      10,       2
    1221,     -47,      13,       3
     250,     -46,       6,       4
    1896,     -42,      16,       8
     631,     -41,       9,       9
     130,     -50,      -6,       0
      76,     -42,       3,       8
    2580,     -50,      19,       0
    1437,     -23,     -14,      27
    2004,     -30,      16,      20
     370,     -56,       8,      -6
     505,     -41,       8,       9
    3199,     -45,      21,       5
    4677,     -27,      25,      23
    2788,     -58,      20,      -8
      91,     -31,      -1,      19
    1428,     -24,      13,      26
     816,     -36,      10,      14
     712,     -32,       9,      18
     613,     -43,       9,       7
     871,     -47,      11,       3
    4825,     -51,      26,      -1
    3919,     -35,      23,      15
    4309,     -29,      24,      21
     303,     -51,       7,      -1
    3208,     -44,      21,       6
     232,     -48,       6,       2
    7447,     -35,      32,      15
     150,     -40,      -5,      10
    3784,     -50,      23,       0
     247,     -37,       5,      13
    3507,     -45,      22,       5
    4201,     -41,      24,       9
      28,     -38,      -1,      12
     604,     -44,       9,       6
    2323,     -49,      18,       1
     -48,     -48,      -2,       2
      82,     -32,       0,      18
    1471,     -41,      14,       9
     121,     -51,       5,      -1
     313,     -39,      -7,      11
    5239,     -47,      27,       3
    4237,     -37,      24,      13
    2521,     -27,      18,      23
      70,     -38,       2,      12
      55,     -35,      -1,      15
     694,     -34,       9,      16
     340,     -36,       6,      14
     825,     -35,      10,      15
     139,     -49,      -6,       1
    4309,     -29,      24,      21
     898,     -44,      11,       6
    1408,     -48,      14,       2
    1158,     -54,      13,      -4
     375,     -43,       7,       7
     139,     -35,       3,      15
    1986,     -32,     -17,      18
    2134,     -42,      17,       8
