      w0,       y,      w1,       z
       0,       0,    -196,       7
      36,      12,    -204,      -1
      33,      11,    -186,      17
      42,      14,    -203,       0
      45,      15,    -198,       5
      60,      20,    -192,      11
     -24,      -8,    -200,       3
     -21,      -7,    -184,      19
     -39,     -13,    -204,      -1
      48,      16,    -187,      16
       0,       0,    -184,      19
      27,       9,    -183,      20
       9,       3,    -179,      24
      36,      12,    -187,      16
      48,      16,    -203,       0
      24,       8,    -170,      33
      42,      14,    -182,      21
     102,      34,    -181,      22
     -12,      -4,    -167,      36
      63,      21,    -188,      15
       9,       3,    -182,      21
      30,      10,    -180,      23
      -3,      -1,    -203,       0
      42,      14,    -175,      28
     -30,     -10,    -181,      22
      12,       4,    -197,       6
       3,       1,    -203,       0
       6,       2,    -188,      15
       0,       0,    -175,      28
      18,       6,    -196,       7
     -21,      -7,    -202,       1
      15,       5,    -208,      -5
       0,       0,    -178,      25
      57,      19,    -189,      14
      27,       9,    -191,      12
     -18,      -6,    -186,      17
      36,      12,    -204,      -1
      45,      15,    -194,       9
      54,      18,    -196,       7
      90,      30,    -202,       1
      48,      16,    -186,      17
      45,      15,    -192,      11
       9,       3,    -215,     -12
      12,       4,    -191,      12
      87,      29,    -185,      18
      63,      21,    -203,       0
      60,      20,    -192,      11
      39,      13,    -196,       7
      57,      19,    -179,      24
      57,      19,    -196,       7
      24,       8,    -207,      -4
      45,      15,    -198,       5
     -12,      -4,    -192,      11
      48,      16,    -202,       1
       0,       0,    -188,      15
      12,       4,    -195,       8
      69,      23,    -199,       4
     -18,      -6,    -213,     -10
      48,      16,    -173,      30
      -3,      -1,    -190,      13
     -12,      -4,    -178,      25
      12,       4,    -185,      18
      81,      27,    -197,       6
       3,       1,    -186,      17
      39,      13,    -203,       0
      36,      12,    -180,      23
     -12,      -4,    -203,       0
       3,       1,    -196,       7
      66,      22,    -179,      24
      39,      13,    -190,      13
      54,      18,    -181,      22
     -48,     -16,    -212,      -9
       6,       2,    -186,      17
      -3,      -1,    -195,       8
      48,      16,    -200,       3
      69,      23,    -184,      19
      15,       5,    -189,      14
      60,      20,    -192,      11
      36,      12,    -198,       5
     -18,      -6,    -175,      28
      39,      13,    -189,      14
      -9,      -3,    -190,      13
      45,      15,    -188,      15
      18,       6,    -173,      30
      78,      26,    -177,      26
      -3,      -1,    -183,      20
      21,       7,    -182,      21
       3,       1,    -188,      15
      66,      22,    -189,      14
      24,       8,    -174,      29
       6,       2,    -190,      13
      51,      17,    -196,       7
      51,      17,    -188,      15
      24,       8,    -193,      10
      30,      10,    -186,      17
       0,       0,    -187,      16
      27,       9,    -199,       4
      33,      11,    -195,       8
       9,       3,    -192,      11
      45,      15,    -176,      27
      66,      22,    -176,      27
      63,      21,    -185,      18
      -3,      -1,    -185,      18
      -3,      -1,    -194,       9
     -30,     -10,    -198,       5
     -15,      -5,    -201,       2
      36,      12,    -189,      14
      69,      23,    -192,      11
      84,      28,    -204,      -1
      51,      17,    -185,      18
      24,       8,    -192,      11
      72,      24,    -195,       8
      39,      13,    -202,       1
      51,      17,    -191,      12
      51,      17,    -191,      12
      99,      33,    -184,      19
      87,      29,    -191,      12
      75,      25,    -191,      12
       0,       0,    -203,       0
      75,      25,    -185,      18
       9,       3,    -173,      30
      12,       4,    -178,      25
      54,      18,    -181,      22
       3,       1,    -188,      15
      12,       4,    -202,       1
      39,      13,    -202,       1
      72,      24,    -192,      11
      24,       8,    -199,       4
      51,      17,    -181,      22
      42,      14,    -210,      -7
      12,       4,    -207,      -4
      69,      23,    -207,      -4
      21,       7,    -198,       5
      -6,      -2,    -205,      -2
      21,       7,    -173,      30
      84,      28,    -188,      15
       0,       0,    -191,      12
      54,      18,    -197,       6
      30,      10,    -200,       3
      42,      14,    -208,      -5
      21,       7,    -192,      11
      -3,      -1,    -183,      20
       3,       1,    -190,      13
       0,       0,    -175,      28
     -21,      -7,    -195,       8
      18,       6,    -190,      13
      39,      13,    -189,      14
       6,       2,    -207,      -4
      48,      16,    -187,      16
      54,      18,    -189,      14
      72,      24,    -187,      16
      27,       9,    -192,      11
       9,       3,    -192,      11
      39,      13,    -191,      12
      51,      17,    -208,      -5
      39,      13,    -205,      -2
       6,       2,    -193,      10
      51,      17,    -210,      -7
      39,      13,    -214,     -11
       9,       3,    -174,      29
      30,      10,    -210,      -7
      54,      18,    -183,      20
      39,      13,    -184,      19
      -9,      -3,    -204,      -1
      36,      12,    -192,      11
       6,       2,    -199,       4
      -3,      -1,    -194,       9
       9,       3,    -188,      15
     -30,     -10,    -205,      -2
       3,       1,    -190,      13
      39,      13,    -193,      10
      45,      15,    -193,      10
      33,      11,    -194,       9
     111,      37,    -180,      23
      21,       7,    -203,       0
       3,       1,    -207,      -4
