      w0,       y,       z
     792,      22,      27
     171,      -3,       9
     486,      10,      18
     108,      12,       0
     239,       7,       8
     558,      18,      18
     174,      12,       3
     944,      12,      38
     331,       5,      13
     383,      23,       8
    -130,     -12,      -1
     346,      -8,      19
     439,      -5,      22
     220,      22,       1
     477,       9,      18
     400,      20,      10
     159,       3,       6
     507,       5,      21
     195,       7,       6
     333,      -7,      18
     484,       0,      22
     378,      20,       9
     207,       1,       9
     338,      -4,      17
     431,      21,      11
     327,       7,      12
     319,      11,      10
     485,      27,      11
     844,      18,      31
     370,      24,       7
     169,      31,      -5
     218,     -10,      14
     273,       1,      12
     223,      15,       4
      99,      11,       0
     490,       8,      19
     438,      12,      15
     416,      12,      14
    -330,     -22,      -6
     415,       7,      16
      -6,      -8,       3
     285,      17,       6
      52,      -4,       4
     542,      26,      14
     766,      24,      25
     460,      12,      16
     461,      17,      14
     948,      32,      30
     366,       4,      15
     411,      31,       6
     613,       7,      25
     452,      -6,      23
     261,       7,       9
     160,       8,       4
    1002,      16,      39
     226,       8,       7
     547,      29,      13
     967,      17,      37
     685,      15,      25
      82,      14,      -2
     556,       8,      22
     147,       9,       3
     675,      31,      18
      68,      10,      -1
     799,      13,      31
    1046,      16,      41
     141,       1,       6
     859,      27,      28
     308,      22,       5
     428,       6,      17
     263,      -5,      14
     256,       4,      10
     494,       6,      20
     330,       0,      15
     255,      21,       3
     165,     -11,      12
     808,      14,      31
      56,      -6,       5
     452,      16,      14
     304,       2,      13
      72,       8,       0
     456,      -8,      24
     178,      10,       4
     403,      13,      13
     487,      15,      16
     153,      17,       0
     377,      15,      11
     563,      21,      17
      25,      -7,       4
     565,       9,      22
     126,      14,       0
     319,      11,      10
     110,       0,       5
      46,     -12,       7
     253,      11,       7
     275,      11,       8
     104,      -8,       8
     150,       2,       6
     350,      12,      11
     287,       5,      11
     581,      23,      17
    -101,       1,      -5
     123,      -1,       6
     406,       6,      16
     209,      11,       5
     251,       1,      11
     184,      18,       1
     465,      15,      15
     -33,      11,      -6
     274,       6,      10
      22,       0,       1
     407,      11,      14
     165,      11,       3
     719,       9,      29
      72,       8,       0
     376,      10,      13
     141,       1,       6
     215,      19,       2
     397,      27,       7
     230,       6,       8
     343,      21,       7
      20,     -10,       5
     323,       9,      11
     278,       4,      11
     540,      16,      18
     133,       5,       4
     289,      15,       7
     356,      20,       8
     -20,      32,     -14
     216,       2,       9
     191,       9,       5
    1026,      26,      36
     342,      16,       9
     520,       4,      22
     295,       1,      13
     433,       9,      16
      33,      11,      -3
     320,      16,       8
     396,       0,      18
     373,      -5,      19
      50,     -14,       8
     691,       1,      31
     364,      16,      10
      61,      19,      -5
     108,      12,       0
     351,      17,       9
     -20,     -12,       4
     285,      17,       6
     -89,      -5,      -2
     559,      23,      16
     147,       9,       3
      85,       7,       1
     425,      13,      14
     577,      25,      16
