      w0,       z
    -464,      22
    -479,       7
    -490,      -4
    -488,      -2
    -478,       8
    -469,      17
    -490,      -4
    -474,      12
    -462,      24
    -463,      23
    -493,      -7
    -476,      10
    -477,       9
    -471,      15
    -474,      12
    -476,      10
    -500,     -14
    -466,      20
    -482,       4
    -482,       4
    -486,       0
    -459,      27
    -484,       2
    -470,      16
    -474,      12
    -469,      17
    -478,       8
    -481,       5
    -484,       2
    -486,       0
    -450,      36
    -497,     -11
    -485,       1
    -486,       0
    -467,      19
    -486,       0
    -480,       6
    -478,       8
    -472,      14
    -475,      11
    -458,      28
    -480,       6
    -476,      10
    -487,      -1
    -487,      -1
    -491,      -5
    -472,      14
    -484,       2
    -476,      10
    -457,      29
    -494,      -8
    -485,       1
    -476,      10
    -477,       9
    -468,      18
    -486,       0
    -476,      10
    -470,      16
    -475,      11
    -461,      25
    -470,      16
    -475,      11
    -461,      25
    -494,      -8
    -483,       3
    -462,      24
    -482,       4
    -466,      20
    -470,      16
    -487,      -1
    -464,      22
    -468,      18
    -470,      16
    -475,      11
    -484,       2
    -468,      18
    -481,       5
    -502,     -16
    -472,      14
    -474,      12
    -483,       3
    -466,      20
    -474,      12
    -453,      33
    -485,       1
    -449,      37
    -479,       7
    -475,      11
    -474,      12
    -456,      30
    -478,       8
    -479,       7
    -496,     -10
    -460,      26
    -479,       7
    -480,       6
    -479,       7
    -465,      21
    -483,       3
    -474,      12
    -471,      15
    -471,      15
    -459,      27
    -463,      23
    -487,      -1
    -471,      15
    -474,      12
    -488,      -2
    -479,       7
    -464,      22
    -456,      30
    -474,      12
    -462,      24
    -466,      20
    -466,      20
    -484,       2
    -494,      -8
    -467,      19
    -469,      17
    -485,       1
    -465,      21
    -490,      -4
    -468,      18
    -478,       8
    -459,      27
    -474,      12
    -476,      10
    -469,      17
    -450,      36
    -477,       9
    -486,       0
    -464,      22
    -475,      11
    -485,       1
    -474,      12
    -466,      20
    -459,      27
    -467,      19
    -489,      -3
    -482,       4
    -482,       4
    -465,      21
    -479,       7
    -455,      31
    -470,      16
    -467,      19
    -470,      16
    -459,      27
    -478,       8
    -472,      14
