      w0,       y
      35,       7
      90,      18
       0,       0
      35,       7
      65,      13
     -25,      -5
     100,      20
      25,       5
      40,       8
      65,      13
      90,      18
      50,      10
     -50,     -10
     -25,      -5
      45,       9
     -25,      -5
      70,      14
      55,      11
      70,      14
      15,       3
     -15,      -3
      70,      14
      60,      12
     135,      27
     110,      22
     -35,      -7
     110,      22
      65,      13
     110,      22
      55,      11
      95,      19
      90,      18
     150,      30
      20,       4
      85,      17
      65,      13
      60,      12
     130,      26
     140,      28
      30,       6
      20,       4
      15,       3
     175,      35
      40,       8
       0,       0
     105,      21
      40,       8
      45,       9
     160,      32
     115,      23
     115,      23
      45,       9
      90,      18
     120,      24
       0,       0
     -55,     -11
     135,      27
      45,       9
      90,      18
      30,       6
      -5,      -1
     -75,     -15
       0,       0
      15,       3
     -45,      -9
      30,       6
      40,       8
      35,       7
      10,       2
      75,      15
      35,       7
     100,      20
     -15,      -3
       5,       1
      70,      14
      45,       9
     110,      22
      50,      10
     -20,      -4
      75,      15
       5,       1
     -10,      -2
     115,      23
      90,      18
       0,       0
      10,       2
     -25,      -5
      45,       9
      35,       7
     -25,      -5
      20,       4
      25,       5
      25,       5
      40,       8
     105,      21
      25,       5
      30,       6
      55,      11
       5,       1
      55,      11
       5,       1
      80,      16
      50,      10
     125,      25
     -95,     -19
     155,      31
      50,      10
     -10,      -2
     -10,      -2
     140,      28
     165,      33
      95,      19
     -10,      -2
      10,       2
      70,      14
     185,      37
      60,      12
     125,      25
      30,       6
      25,       5
       0,       0
      50,      10
      95,      19
      60,      12
     -40,      -8
     115,      23
      15,       3
      95,      19
     115,      23
      10,       2
      40,       8
     100,      20
     125,      25
     -40,      -8
      15,       3
      70,      14
      85,      17
     110,      22
     -10,      -2
     -75,     -15
      65,      13
      -5,      -1
      15,       3
      40,       8
      50,      10
      35,       7
     150,      30
      90,      18
      -5,      -1
     -45,      -9
      20,       4
      35,       7
      70,      14
      55,      11
     -20,      -4
     105,      21
      85,      17
      70,      14
      75,      15
      10,       2
      35,       7
     115,      23
      15,       3
     -20,      -4
     120,      24
     220,      44
      30,       6
      85,      17
      90,      18
      75,      15
      80,      16
      -5,      -1
      35,       7
      30,       6
      55,      11
     140,      28
      60,      12
     -35,      -7
      35,       7
      90,      18
      95,      19
     -20,      -4
      50,      10
     115,      23
      50,      10
      55,      11
     -10,      -2
     115,      23
      40,       8
       5,       1
      60,      12
      50,      10
      50,      10
      25,       5
     -10,      -2
      75,      15
      55,      11
     100,      20
       0,       0
      90,      18
      25,       5
     -10,      -2
      90,      18
      45,       9
      60,      12
     120,      24
      45,       9
     155,      31
     135,      27
      65,      13
      70,      14
      45,       9
      70,      14
       0,       0
      45,       9
      85,      17
     -15,      -3
      90,      18
      75,      15
      35,       7
      80,      16
      95,      19
      20,       4
      70,      14
      70,      14
      15,       3
      55,      11
     125,      25
      30,       6
      45,       9
      75,      15
      25,       5
      35,       7
      20,       4
      55,      11
      65,      13
      70,      14
      55,      11
      50,      10
     150,      30
      30,       6
      50,      10
      40,       8
      50,      10
     105,      21
      65,      13
      50,      10
      30,       6
     -35,      -7
      30,       6
      35,       7
     135,      27
     -70,     -14
      -5,      -1
      55,      11
     -35,      -7
      65,      13
     -20,      -4
      45,       9
     155,      31
       0,       0
     -15,      -3
      40,       8
      60,      12
      15,       3
     -10,      -2
      20,       4
     105,      21
      65,      13
       0,       0
     100,      20
     165,      33
      45,       9
       0,       0
      65,      13
      40,       8
      45,       9
      65,      13
      30,       6
     -15,      -3
     -15,      -3
     -35,      -7
     150,      30
     100,      20
      95,      19
      35,       7
      30,       6
       5,       1
     110,      22
     -15,      -3
      25,       5
     135,      27
     -45,      -9
      40,       8
      50,      10
     -10,      -2
     105,      21
      50,      10
     125,      25
     195,      39
      10,       2
      80,      16
      25,       5
      40,       8
      10,       2
      40,       8
      90,      18
      65,      13
       0,       0
      25,       5
      20,       4
     100,      20
      25,       5
      55,      11
      70,      14
      85,      17
      95,      19
       0,       0
     125,      25
      70,      14
       0,       0
     -25,      -5
     -15,      -3
      60,      12
     125,      25
      75,      15
     105,      21
      70,      14
     100,      20
      -5,      -1
      15,       3
      95,      19
      35,       7
      70,      14
     105,      21
     140,      28
     160,      32
      50,      10
       0,       0
      25,       5
      -5,      -1
     155,      31
      25,       5
     115,      23
      65,      13
     100,      20
      50,      10
     125,      25
       5,       1
      95,      19
     -55,     -11
     -50,     -10
     115,      23
     140,      28
      50,      10
      15,       3
     115,      23
     165,      33
       5,       1
     100,      20
     120,      24
      30,       6
       0,       0
      90,      18
     -20,      -4
      30,       6
      15,       3
     105,      21
     -15,      -3
       0,       0
      65,      13
       0,       0
      75,      15
     180,      36
     -35,      -7
       5,       1
      15,       3
      65,      13
      10,       2
      85,      17
     125,      25
     120,      24
      70,      14
      10,       2
     145,      29
      35,       7
      75,      15
      35,       7
     -10,      -2
     -80,     -16
     145,      29
      50,      10
      15,       3
       0,       0
      55,      11
     -30,      -6
     -20,      -4
      45,       9
      50,      10
     165,      33
     -60,     -12
      80,      16
      60,      12
      80,      16
      90,      18
      70,      14
      50,      10
     -25,      -5
      90,      18
      45,       9
     105,      21
     125,      25
      55,      11
      25,       5
      40,       8
     160,      32
      -5,      -1
      50,      10
      75,      15
     100,      20
      65,      13
     -35,      -7
     -65,     -13
      10,       2
     145,      29
      80,      16
      85,      17
      85,      17
      35,       7
      65,      13
     110,      22
      45,       9
     115,      23
      30,       6
      60,      12
      30,       6
      10,       2
      75,      15
     -15,      -3
       0,       0
     -35,      -7
     115,      23
     100,      20
      50,      10
     105,      21
      10,       2
       0,       0
      25,       5
      55,      11
     -15,      -3
     130,      26
     -10,      -2
      20,       4
     -25,      -5
      10,       2
      50,      10
      90,      18
      95,      19
       5,       1
      20,       4
      85,      17
      30,       6
     -10,      -2
     105,      21
      75,      15
       0,       0
      -5,      -1
      75,      15
      15,       3
     -35,      -7
     110,      22
     -45,      -9
      50,      10
     105,      21
     100,      20
      60,      12
       0,       0
      80,      16
     -15,      -3
     -10,      -2
      80,      16
      65,      13
      15,       3
      60,      12
      80,      16
     135,      27
      15,       3
      80,      16
     -20,      -4
     140,      28
      45,       9
      50,      10
      65,      13
      -5,      -1
     -15,      -3
      -5,      -1
     125,      25
      65,      13
     -40,      -8
      40,       8
      65,      13
      20,       4
      30,       6
      -5,      -1
      30,       6
     150,      30
      -5,      -1
      95,      19
     155,      31
      85,      17
      80,      16
      25,       5
