      w0,       x,       z
    1270,      11,      18
    4137,      21,       9
      35,       0,       5
    1356,      12,       0
     390,       5,      20
    2107,      15,       1
    9903,      33,      -9
    9551,      32,      25
    2359,      15,      37
    1663,      13,      11
     900,       9,      18
    7252,      28,       8
     241,       4,      11
    2672,      17,      -2
    7364,      28,      24
    2086,      14,      36
      56,       1,       6
     180,      -2,      22
    1333,      11,      27
    2609,      17,     -11
    4820,      23,      -8
     131,      -4,       1
     900,       9,      18
    4144,      21,      10
    4494,      22,       4
     984,       9,      30
    2868,      17,      26
    7399,      28,      29
    1705,      13,      17
   13933,      39,       7
    1677,      13,      13
    9481,      32,      15
     193,       2,      21
    3777,      20,      11
     651,       8,       5
     830,       9,       8
      -9,      -2,      -5
     999,      10,       7
    3126,     -19,      -4
    6647,      27,      -7
    4130,      21,       8
    1827,     -14,      19
    3069,      18,       9
    7756,      29,       6
    1151,      11,       1
     262,       4,      14
      95,      -1,      13
    2805,      17,      17
     199,       4,       5
     976,     -10,      18
    7805,      29,      13
      59,      -3,      -1
     306,       5,       8
    1228,      11,      12
    2524,      16,      20
     305,       2,      37
    2693,      17,       1
    3826,      20,      18
    2784,      17,      14
    1228,      11,      12
    4221,      21,      21
     152,      -4,       4
    2261,      15,      23
    4144,      21,      10
     207,       2,      23
    1118,      10,      24
     -14,       0,      -2
    4904,      23,       4
    2721,      17,       5
    1326,      11,      26
     560,       7,      12
     588,      -7,      26
    1433,      12,      11
     171,       4,       1
    6172,      26,      -6
     126,       1,      16
    5395,      24,      13
    1277,      11,      19
     679,       8,       9
    1890,      14,       8
    2622,      16,      34
     115,       4,      -7
    1883,      14,       7
     187,       5,      -9
     494,       6,      20
    2777,      17,      13
     830,       9,       8
      21,       1,       1
     448,      -7,       6
     406,      -6,      16
    5311,      24,       1
    1531,      12,      25
     999,      10,       7
     333,       6,      -3
    2756,      17,      10
     116,      -1,      16
     -91,       0,     -13
    3076,      18,      10
    4641,      22,      25
    1006,      10,       8
     588,       7,      16
    1454,      12,      14
    2191,      15,      13
     707,       8,      13
     194,      -4,      10
     802,       9,       4
    1235,      11,      13
    1670,      13,      12
     726,      -9,       6
    4193,      21,      17
    4242,      21,      24
    1433,      12,      11
     133,       1,      17
     780,     -10,     -10
     595,       7,      17
     299,       5,       7
     166,       3,      10
    6766,      27,      10
    1020,      10,      10
    1216,     -11,      26
    1013,      10,       9
    1041,      10,      13
   13884,      39,       0
     943,      10,      -1
    6780,      27,      12
     522,       6,      24
    1677,      13,      13
    1326,      11,      26
     704,       9,     -10
    5771,      25,       3
     194,       3,      14
      42,       1,       4
     501,       6,      21
      14,       0,       2
      21,       0,       3
     329,      -7,     -11
     122,       4,      -6
     213,       4,       7
     725,       9,      -7
    1165,      11,       3
     837,       9,       9
     158,       2,      16
      70,       0,      10
      81,       2,       5
    1144,      11,       0
    4074,      21,       0
     126,       1,      16
    1186,      11,       6
    6207,      26,      -1
    3386,      19,       6
       4,       2,      -6
    1911,      14,      11
     609,       7,      19
    7798,      29,      12
     285,       5,       5
     872,       9,      14
     438,       6,      12
    4634,      22,      24
    4876,      23,       0
     964,      10,       2
    8376,      30,      18
     245,      -6,      -7
     658,       8,       6
    1733,      13,      21
    2798,      17,      16
    1519,     -13,       9
     312,       2,      38
    1614,      13,       4
     193,      -5,      -1
    1988,      14,      22
    5750,      25,       0
     403,       6,       7
    1097,      10,      21
    3414,      19,      10
    4274,     -22,       4
     235,      -5,       5
      35,       0,       5
    7350,      28,      22
     333,       6,      -3
     348,       5,      14
    4911,      23,       5
    3833,      20,      19
    3728,      20,       4
     299,       5,       7
     494,       6,      20
    5367,      24,       9
    1579,      13,      -1
    1946,      14,      16
    6319,      26,      15
     616,       7,      20
     609,       8,      -1
    9376,      32,       0
    2826,      17,      20
    1104,     -11,      10
    4904,      23,       4
     130,       2,      12
    3547,      19,      29
     173,       3,      11
     809,       9,       5
      21,       1,       1
    1041,      10,      13
    1537,      13,      -7
      28,       0,       4
     466,       6,      16
      91,       1,      11
    2009,      14,      25
    4946,      23,      10
    6801,      27,      15
    2205,      15,      15
      19,      -2,      -1
     403,       6,       7
     434,      -6,      20
     672,       8,       8
    4711,      22,      35
    8264,      30,       2
     390,       5,      20
      98,       0,      14
    2254,      15,      22
    3386,      19,       6
    2030,      14,      28
    1946,      14,      16
    1279,      12,     -11
     147,       0,      21
     950,      10,       0
    5570,     -25,      10
    4137,      21,       9
    2107,      15,       1
    2261,      15,      23
     152,      -2,      18
     896,       8,      40
     462,      -7,       8
   10183,      33,      31
    2240,      15,      20
    1328,      12,      -4
    3470,      19,      18
      67,      -1,       9
    4890,      23,       2
    2044,      15,      -8
     -10,      -1,      -2
     250,       3,      22
     532,       7,       8
    2847,      17,      23
    3805,      20,      15
    2496,      16,      16
     199,       4,       5
    8236,      30,      -2
     222,       5,      -4
    1111,      10,      23
     196,       1,      26
     123,      -1,      17
     210,       1,      28
     641,       9,     -19
     434,      -7,       4
     823,       9,       7
    3770,      20,      10
   12541,      37,       5
    4960,      23,      12
     313,       5,       9
     501,       6,      21
    2847,     -18,       3
     124,       3,       4
     431,       6,      11
    2377,      16,      -1
    1918,      14,      12
     483,      -7,      11
     325,       4,      23
    2901,      18,     -15
     795,       9,       3
    1642,      13,       8
     313,       5,       9
      25,      -1,       3
     292,       5,       6
    2107,      15,       1
    1719,      13,      19
    1925,      14,      13
    6822,      27,      18
    1034,     -11,       0
     672,       8,       8
    3118,      18,      16
    2170,      15,      10
     725,       9,      -7
     740,      -9,       8
    1607,      13,       3
    3344,      19,       0
    1803,      13,      31
     154,       0,      22
    4918,      23,       6
    9425,      32,       7
    2128,      15,       4
   11340,      35,      20
    2943,      18,      -9
    8250,      30,       0
     145,      -4,       3
     928,       9,      22
    1925,      14,      13
     136,      -3,      10
    5479,      24,      25
      45,      -3,      -3
    4466,      22,       0
      63,       0,       9
     483,      -7,      11
     -14,       1,      -4
      14,       1,       0
    3048,      18,       6
    5262,      24,      -6
    3812,      20,      16
    4529,      22,       9
     207,      -1,      29
    1544,      13,      -6
     992,      10,       6
     130,       2,      12
    4676,      22,      30
    6843,      27,      21
     166,      -2,      20
    3344,      19,       0
     109,      -1,      15
    1412,      12,       8
     518,       7,       6
    1496,      12,      20
    1004,     -10,      22
    1701,     -14,       1
    9432,      32,       8
    1967,      14,      19
    3763,      20,       9
     616,       8,       0
    1012,       9,      34
     241,      -3,      25
      66,      -3,       0
      49,       1,       5
    2665,      17,      -3
     320,       5,      10
    9670,      32,      42
     262,       4,      14
     892,     -10,       6
    1834,      14,       0
    2016,      14,      26
     403,       6,       7
    4130,      21,       8
      89,      -2,       9
    1144,      11,       0
    2030,      14,      28
    5437,      24,      19
     473,       6,      17
     971,      10,       3
    2100,      15,       0
    8250,      30,       0
     476,       7,       0
      89,      -2,       9
    4578,      22,      16
     340,       6,      -2
    1775,      13,      27
     560,       7,      12
    1172,      11,       4
     236,       5,      -2
    3889,      20,      27
     -28,       0,      -4
    1041,      10,      13
     278,       5,       4
    3337,      19,      -1
    1967,      14,      19
    3006,      18,       0
     445,       6,      13
    7707,      29,      -1
    3216,      18,      30
     712,      -9,       4
     154,       0,      22
    1554,     -13,      14
      25,       2,      -3
    3246,      19,     -14
      74,       2,       4
    4116,      21,       6
     140,       1,      18
    2475,      16,      13
    4939,      23,       9
    4207,      21,      19
   10050,      33,      12
     390,       5,      20
      42,       0,       6
     354,       6,       0
    1433,      12,      11
     201,       3,      15
    5465,      24,      23
     466,       6,      16
      49,       0,       7
    3055,      18,       7
     341,       5,      13
    1020,      10,      10
      63,       0,       9
     802,       9,       4
    1761,      13,      25
      70,       0,      10
    5451,      24,      21
    5395,      24,      13
    2349,      16,      -5
     571,      -8,       5
    3288,      19,      -8
     112,       0,      16
    4452,      22,      -2
    1298,      11,      22
     686,       8,      10
     147,       0,      21
    6256,      26,       6
     102,       2,       8
    1398,      12,       6
     637,       8,       3
     886,       9,      16
    7182,      28,      -2
     431,       6,      11
     823,       9,       7
    1834,      14,       0
    2020,     -15,      10
    2826,      17,      20
    4074,      21,       0
     950,      10,       0
     616,       8,       0
    2483,      17,     -29
    5827,      25,      11
     294,      -6,       0
      32,       2,      -2
     788,       9,       2
     921,       9,      21
    2177,      15,      11
     432,       5,      26
     623,       8,       1
     123,       2,      11
    2079,      15,      -3
      94,       4,     -10
     116,      -1,      16
    2335,      16,      -7
     270,      -5,      10
    1356,      12,       0
    1607,      13,       3
    1125,      10,      25
    2268,      15,      24
    6214,      26,       0
    1621,      13,       5
    2945,     -18,      17
      70,       0,      10
    4578,      22,      16
     313,      -4,      27
    2777,      17,      13
    2212,      15,      16
    6612,      27,     -12
    2135,      15,       5
    1551,      13,      -5
    1412,      12,       8
    5339,      24,       5
      75,      -2,       7
     490,       7,       2
     693,       8,      11
      33,      -2,       1
     129,      -3,       9
    4550,      22,      12
     999,      10,       7
    1285,     -12,       7
     -21,       1,      -5
     756,       8,      20
    3062,      18,       8
     476,       7,       0
     390,       5,      20
    1419,      12,       9
    2847,      17,      23
      49,       1,       5
      61,      -2,       5
    8881,      31,      11
     418,       5,      24
     473,       6,      17
     424,       6,      10
     725,       9,      -7
    1102,      11,      -6
     609,       8,      -1
    6200,      26,      -2
     595,       8,      -3
    1995,      14,      23
    4564,      22,      14
     525,       7,       7
     257,      -4,      19
    5304,      24,       0
     105,       1,      13
    4116,      21,       6
    6319,      26,      15
    1377,      12,       3
    1848,      14,       2
     865,       9,      13
      56,       1,       6
     532,       7,       8
     585,      -8,       7
    1048,     -11,       2
     129,      -3,       9
    2903,      17,      31
     782,      -9,      14
     462,      -6,      24
      40,      -2,       2
   14066,      39,      26
    6151,      26,      -9
      11,      -1,       1
    2184,      15,      12
     306,       5,       8
    4060,      21,      -2
    3104,      18,      14
    4508,      22,       6
    3400,      19,       8
    2212,      15,      16
    1193,      11,       7
     962,     -10,      16
     756,       8,      20
    1729,      14,     -15
    1607,      13,       3
    1165,      11,       3
    3672,      20,      -4
     546,       7,      10
    1104,      10,      22
