      w0,      w1,       x,       z
    9659,     -41,      25,      34
     716,    -251,       4,      18
     686,    -401,     -11,       7
     283,    -241,       5,      12
    6758,     -71,      22,      26
    2456,    -131,      16,       6
    -416,    -301,      -1,       5
     125,    -231,       6,       7
    -241,    -291,       0,      -9
     691,    -331,      -4,      19
      -2,    -241,       5,       7
    4391,     -81,      21,       6
     128,    -221,       7,      -1
     332,    -251,       4,      14
    1427,    -161,      13,       0
    2365,    -181,      11,      22
    4457,    -261,       3,      40
    -199,    -351,      -6,       3
    1790,    -161,      13,      11
     151,    -241,       5,      10
     332,    -251,       4,      14
     358,    -241,       5,      13
    1007,    -321,      -3,      22
    1574,    -161,      13,       7
    -229,    -251,       4,       3
    1235,    -171,      12,       5
     340,    -211,       8,       4
    1562,    -201,       9,      19
     799,    -211,       8,      13
    6169,     -61,      23,      18
    3956,    -101,      19,      13
     278,    -231,       6,      10
    -362,    -271,       2,       4
     986,    -201,       9,      13
     800,    -221,       7,      15
    1886,    -191,      10,      20
     713,    -191,      10,       3
    1811,    -441,     -15,      10
     -13,    -251,       4,       9
     367,    -211,       8,      -5
    1492,    -211,       8,     -20
     626,    -201,       9,       7
     -59,    -301,      -1,      12
     832,    -301,      -1,      21
      94,    -241,       5,       9
     277,    -301,      -1,      16
    1430,    -161,      13,      -1
    7565,     -21,      27,      10
      97,    -271,       2,      13
    1957,    -151,      14,       9
    3023,    -131,      16,      15
    1208,    -171,      12,       4
     925,    -181,      11,      -2
    1060,    -331,      -4,      22
    4295,     -81,      21,       2
     925,    -181,      11,       2
    1649,    -351,      -6,      25
    4922,     -71,      22,       8
    5177,    -101,      19,      24
    1271,    -281,       1,      24
    5048,    -131,      16,      30
    5872,     -61,      23,      15
    7340,     -21,      27,       5
    7081,     -31,      26,      11
    1307,    -171,      12,       7
    1802,    -351,      -6,      26
     484,    -211,       8,       8
    1619,    -161,      13,       8
     457,    -271,       2,      17
    7225,     -31,      26,      13
    -370,    -321,      -3,       5
    9053,       9,      30,      -3
    2207,    -201,       9,      24
    6043,     -91,      20,      27
    2888,    -141,      15,      17
    2627,    -161,      13,      20
    -146,    -241,       5,       1
    6520,     -61,      23,      21
    3431,    -131,      16,      19
     689,    -191,      10,       1
    1574,    -161,      13,      -7
    2066,    -201,       9,      23
    2048,    -141,      15,       3
    2014,    -151,      14,      10
     485,    -231,       6,      13
     857,    -351,      -6,      19
    -181,    -251,       4,       5
     823,    -241,       5,      18
     200,    -381,      -9,      -3
    2914,    -151,      14,      20
      89,    -261,       3,      12
    6745,     -31,      26,       3
      20,    -261,       3,      11
    2069,    -141,      15,      -4
    4223,    -131,      16,      25
    2389,    -151,      14,      15
     689,    -191,      10,      -1
    2888,    -141,      15,      17
    1546,    -391,     -10,      20
    1420,    -181,      11,      13
    2561,    -191,      10,      25
    2747,    -171,      12,      23
    5056,     -91,      20,      20
     970,    -361,      -7,      19
    -263,    -271,       2,       7
     716,    -251,       4,      18
      20,    -261,       3,      11
     200,    -221,       7,       5
     265,    -271,       2,      15
    -137,    -241,       5,       2
    -184,    -291,       0,      10
    1669,    -391,     -10,      21
     689,    -191,      10,       1
    4828,     -91,      20,      18
    8422,      -1,      29,       1
    2495,    -131,      16,       7
    7412,     -51,      24,      24
     488,    -291,       0,      18
   15469,      89,      38,      17
    5209,     -61,      23,       2
    1714,    -151,      14,       0
    7880,     -11,      28,       4
     940,    -181,      11,       3
       5,    -231,       6,       3
    2077,    -151,      14,      11
    2321,    -141,      15,      10
    4475,     -81,      21,       8
    -178,    -311,      -2,      10
    1660,    -421,     -13,      15
    2887,    -121,      17,       8
    1097,    -351,      -6,      21
    2591,    -131,      16,       9
     218,    -281,       1,      15
     332,    -251,       4,      14
    2348,    -131,      16,       0
     827,    -251,       4,      19
     304,    -211,       8,       2
    4048,     -91,      20,       8
    -454,    -281,       1,       1
    2015,    -161,      13,      14
    1579,    -241,       5,      24
   11681,      19,      31,      26
    7412,     -21,      27,      -7
    3613,    -181,      11,      30
    1274,    -191,      10,      14
    2648,    -131,      16,      10
    1906,    -151,      14,       8
    3494,    -111,      18,      12
    1727,    -161,      13,     -10
     653,    -231,       6,      15
     265,    -271,       2,      15
    4099,     -91,      20,       9
    2222,    -311,      -2,      30
    1501,    -181,      11,      14
     410,    -281,       1,      17
    4973,     -71,      22,       9
    -100,    -261,       3,       9
    8588,     -21,      27,      21
     304,    -211,       8,       2
    9601,     -31,      26,      31
     143,    -321,      -3,      14
    1375,    -211,       8,      19
    1574,    -161,      13,      -7
     833,    -191,      10,       7
   10294,      -1,      29,      25
    9007,      -1,      29,      14
    4003,     -91,      20,       7
    3344,    -141,      15,      21
     986,    -191,      10,      10
   12626,      49,      34,      18
     746,    -351,      -6,      18
    3283,    -121,      17,      14
     992,    -221,       7,      17
    -317,    -331,      -4,       5
    1714,    -151,      14,       0
    4363,     -91,      20,      13
    8527,      -1,      29,       6
     722,    -201,       9,       9
    -472,    -291,       0,      -2
    -410,    -271,       2,       0
    5200,     -61,      23,       1
    6158,     -81,      21,      25
      -2,    -241,       5,       7
    4037,    -101,      19,      14
      89,    -261,       3,      12
    6959,     -41,      25,      16
    2747,    -171,      12,      23
    -430,    -281,       1,       3
    5792,     -51,      24,       6
    3283,    -121,      17,      14
    3812,    -101,      19,      11
     188,    -341,      -5,      13
    -248,    -301,      -1,       9
    2720,    -371,      -8,      30
    -457,    -291,       0,      -3
    5702,     -71,      22,      18
    2993,    -141,      15,      18
    7430,     -71,      22,      30
     488,    -221,       7,      11
     410,    -281,       1,      17
     554,    -201,       9,       5
    4514,    -111,      18,      22
    -410,    -271,       2,       0
     716,    -251,       4,      18
    2722,    -121,      17,      -3
      23,    -291,       0,      13
     995,    -281,       1,      22
    1346,    -201,       9,      17
    8951,     -51,      24,      33
    3011,    -251,       4,      33
     832,    -301,      -1,      21
     358,    -241,       5,      13
     191,    -291,       0,      15
   20606,     159,      45,       5
    5872,     -61,      23,      15
     248,    -381,      -9,       5
    1403,    -171,      12,       9
    9038,       9,      30,      -2
    2321,    -141,      15,      10
    -481,    -291,       0,       1
    1460,    -171,      12,      10
    1235,    -171,      12,       5
      23,    -371,      -8,      -1
    1268,    -171,      12,       6
     997,    -421,     -13,      -2
    -430,    -311,      -2,       4
     485,    -231,       6,      13
    2146,    -151,      14,      12
    3956,    -101,      19,      13
    3431,    -131,      16,      19
      20,    -261,       3,      11
    -484,    -291,       0,       0
    2483,    -171,      12,      21
    6554,     -41,      25,      11
     655,    -211,       8,      11
    -464,    -301,      -1,       3
    5137,    -271,       2,      43
     950,    -231,       6,      18
    2995,    -121,      17,     -10
    2789,    -141,      15,      16
    4421,    -101,      19,      18
    -335,    -271,       2,       5
     170,    -231,       6,       8
     196,    -331,      -4,      14
    3964,     -91,      20,       6
     808,    -331,      -4,      20
     950,    -231,       6,      18
    -436,    -291,       0,       4
     941,    -381,      -9,      16
      86,    -231,       6,       6
     986,    -201,       9,      13
    1906,    -151,      14,       8
    1061,    -231,       6,      19
    6718,     -31,      26,       0
    9619,      -1,      29,      20
    7585,     -31,      26,      17
     439,    -211,       8,       7
    8198,     -71,      22,      34
    -407,    -271,       2,      -1
    2077,    -151,      14,     -11
    1160,    -171,      12,       0
    4877,     -71,      22,       7
