      w0,      w1,       x,       y,       z
    -405,     423,       5,      47,      -1
    -148,     216,      14,      24,       3
    -938,     -27,      -9,      -3,      16
    -536,     -18,      -4,      -2,       1
     701,      27,      13,       3,      17
    -529,      81,      20,       9,      -2
     277,      72,      15,       8,       9
     806,      90,      39,      10,       6
    -226,      72,       9,       8,       4
    1020,      90,      10,      10,      27
    1101,      72,      26,       8,      12
   -1212,      18,     -13,       2,      16
    1531,     126,      27,      14,      15
     -78,     153,      12,      17,       5
    -656,     189,       1,      21,     -12
     714,      -9,      11,      -1,      20
     -63,      90,       7,      10,       9
    -207,     216,       3,      24,       9
    -438,     225,       0,      25,       1
    -653,     279,      -7,      31,      11
     854,      81,       9,       9,      26
     510,      45,       8,       5,      21
     573,      90,      15,      10,      13
     561,      36,      15,       4,      13
    -253,     -72,       6,      -8,       6
    2817,      72,      20,       8,      34
    1371,     216,      19,      24,      19
    -287,      81,      28,       9,       0
    -168,     234,       8,      26,       5
     337,     117,      10,      13,      14
    1216,      18,      10,       2,      31
    1033,      36,      23,       4,      13
    -279,      -9,      32,      -1,       0
    -430,     135,       1,      15,       2
    -392,     126,      -2,      14,      19
    -312,     153,      -1,      17,      18
    -387,      81,       3,       9,       3
   -1300,     108,      21,      12,     -10
     354,      -9,      14,      -1,      11
   -1454,     117,      18,      13,     -13
    -161,      63,       8,       7,       6
    -441,     153,       0,      17,       2
    3572,      90,      31,      10,      28
     365,     243,      10,      27,      14
    -462,      18,       2,       2,       1
     870,      99,      20,      11,      13
    -250,      90,       4,      10,       7
    -230,     -72,       2,      -8,      13
    5025,     252,      40,      28,      30
    -438,     -63,      11,      -7,       0
    -215,      90,      16,      10,       2
    -745,     -18,      -6,      -2,      18
    -133,     135,       0,      15,      26
     254,     -18,      10,      -2,      13
     154,     153,       3,      17,      24
       3,       0,       9,       0,       9
     739,     171,      14,      19,      16
     774,     -18,       7,      -2,      30
     436,     117,       8,      13,      19
     756,     117,      18,      13,      13
     885,      90,      22,      10,      12
    -337,     108,      20,      12,       0
    -345,      99,       5,      11,       3
    -981,     180,     -16,      20,       8
     -13,     171,      12,      19,       6
     180,     234,       5,      26,      18
     750,      90,      18,      10,      13
     832,     -72,      20,      -8,      13
    -412,      -9,      13,      -1,       0
    -519,      99,      -4,      11,       4
     293,      81,       8,       9,      16
    -409,     297,      13,      33,      -1
    1210,      54,      21,       6,      16
     365,      45,       6,       5,      22
       7,     -18,      14,      -2,       6
    -356,     135,       4,      15,       3
    -712,     -18,      -6,      -2,      15
     251,     108,      16,      12,       8
    -832,     162,     -10,      18,      11
    4094,       0,      32,       0,      31
      33,     153,       1,      17,      29
    -347,      90,       5,      10,       3
     524,     108,       8,      12,      21
    -368,      81,      -8,       9,      -9
    -258,      45,      20,       5,       1
    1154,      18,      13,       2,      24
    -113,     108,       0,      12,      28
     250,     -45,       5,      -5,      22
     499,     108,      18,      12,      10
     332,      -9,      15,      -1,      10
     303,     216,      19,      24,       7
     268,     126,      13,      14,      10
    -487,     189,      -4,      21,       0
    -269,      -9,       0,      -1,      18
     744,     198,      19,      22,      12
    -529,      27,      -3,       3,     -13
   -1337,      90,      22,      10,     -10
     310,     198,      17,      22,       8
     -22,     333,       4,      37,      13
    -445,      63,       6,       7,       0
    -479,     117,      -2,      13,       2
    -258,     -18,       0,      -2,      19
    -162,      81,       3,       9,      12
    -543,      -9,      -4,      -1,       4
    -200,      99,       1,      11,      16
     851,      81,      17,       9,      15
    -249,     189,       9,      21,       3
     522,      99,      13,      11,      14
    -524,     117,      -4,      13,       7
      49,       0,       4,       0,      18
    -579,     -36,      -4,      -4,      14
    3228,      81,      33,       9,      24
    -361,     252,      12,      28,       0
    -430,     297,       6,      33,      -1
     516,      81,      12,       9,      15
    -510,     180,      -2,      20,      -7
    1513,      54,      19,       6,      21
     684,      18,       8,       2,      25
    -479,      36,       9,       4,      -1
   -1391,      63,      32,       7,      -8
    -427,     -45,      12,      -5,       0
      17,      81,       7,       9,      11
     535,       0,      16,       0,      12
    -325,     135,       8,      15,       2
    -343,     279,      -8,      31,      -8
    1648,       0,      15,       0,      28
     159,      45,      14,       5,       8
     559,     162,      10,      18,      18
    -665,      45,      -6,       5,      12
    -605,     -45,      -4,      -5,      22
    -390,     216,       9,      24,       0
    -151,     189,       2,      21,      14
    -606,      63,      16,       7,      -3
    -409,     243,      -1,      27,       5
     435,     -45,      28,      -5,       6
    -354,     -63,       9,      -7,       2
    1404,      18,      11,       2,      32
    -383,      90,      14,      10,       0
     698,      -9,      19,      -1,      12
     196,     117,       6,      13,      17
    -228,       9,       3,       1,      10
     445,     162,       7,      18,      21
    -992,      72,      34,       8,      -5
    -376,      90,      15,      10,       0
     217,     144,       8,      16,      14
    1447,      81,      15,       9,      25
     388,      90,       4,      10,      29
    1162,      99,      27,      11,      12
     422,     234,      13,      26,      12
     487,     243,      19,      27,       9
      48,      72,      26,       8,       3
     693,     -36,      14,      -4,      16
     414,      99,       6,      11,      23
    -411,     171,       0,      19,       4
    -102,      81,       1,       9,      22
     729,      72,      21,       8,      11
     803,     135,      11,      15,      21
     457,       9,       8,       1,      20
    -667,     -27,      12,      -3,      -4
    -318,      72,      14,       8,       1
     306,       9,      16,       1,       9
    -334,     225,       0,      25,       9
      86,     108,       5,      12,      16
    -407,     126,      -2,      14,      16
       6,     234,       0,      26,      35
    -596,     153,       1,      17,      -8
    -547,     216,      -4,      24,      22
    -280,     144,      27,      16,       0
     -51,     -63,       5,      -7,      13
     451,      63,      12,       7,      14
