      w1,       x,       y,      w0,       z
     136,      18,       4,     -96,      14
    2446,      13,      20,    -221,     -11
      54,      27,       0,    -196,      -6
     171,       8,       5,    -191,      -5
     543,      24,       9,     -71,      19
    1781,      15,      17,    -136,       6
     173,       9,       5,     -61,      21
     636,      13,      10,     -41,      25
    6180,       2,      32,     -71,      19
     874,      -1,      12,    -106,      12
     374,      -9,       8,     -66,      20
    2699,      16,      21,     -46,      24
    2193,       4,      19,    -146,       4
    1218,      14,      14,    -156,       2
       9,       1,       1,     -66,      20
      15,       5,      -1,    -101,      13
    2934,       4,      22,    -176,      -2
     743,       3,      11,     -31,      27
     200,     -11,       6,     -96,      14
    1371,       3,      15,     -96,      14
    2189,       2,      19,     -51,      23
     195,      20,       5,     -11,      31
    2727,      30,      21,    -121,       9
    4429,      14,      27,     -86,      16
    2942,       8,      22,     -91,      15
     349,      24,       7,    -146,       4
     608,      -1,      10,      -1,      33
    4132,      25,      26,     -26,      28
     753,       8,      11,     -46,      24
    2215,      15,      19,     -86,      16
     136,      18,       4,    -111,      11
    3187,      -5,      23,     -96,      14
     916,      20,      12,    -156,       2
    4415,       7,      27,    -221,     -11
     161,       3,       5,    -166,       0
      14,       7,       0,    -161,       1
     121,      32,       3,     -91,      15
    3239,      21,      23,     -31,      27
     864,       6,     -12,    -111,      11
       8,      -9,       2,     -91,      15
     179,      12,       5,    -176,      -2
    1176,      -7,      14,     -81,      17
     212,       1,      -6,    -121,       9
      20,      -3,       2,    -176,      -2
     543,      24,       9,     -56,      22
    3813,      19,      25,    -156,       2
    1797,      23,      17,     -96,      14
    1749,      -1,      17,    -101,      13
    1743,      -4,      17,     -96,      14
     398,       3,       8,      -1,      33
     644,      17,      10,    -141,       5
      85,      17,      -3,     -86,      16
    2171,      -7,      19,    -111,      11
    1174,      -8,      14,     -61,      21
     638,      14,      10,    -236,     -14
      51,       0,      -3,     -81,      17
    1176,      -7,      14,    -116,      10
    1592,      20,      16,    -151,       3
     628,       9,      10,     -71,      19
    3227,      15,      23,     -96,      14
    1783,      16,      17,     -76,      18
      24,      12,       0,     -66,      20
     240,       9,       6,     -91,      15
    3217,      10,      23,     -51,      23
      63,       3,       3,    -156,       2
    1968,       3,      18,     -41,      25
    1835,      42,      17,    -176,      -2
     242,      16,      -6,    -101,      13
      77,      13,      -3,     -71,      19
    1017,      -5,      13,    -161,       1
     918,      21,      12,     -11,      31
    9187,      11,      39,    -161,       1
      40,      20,       0,    -226,     -12
    6597,      15,      33,    -151,       3
      54,      14,       2,     -41,      25
      54,      16,      -2,      -6,      32
    1196,       3,      14,     -76,      18
     187,      16,       5,    -181,      -3
    1035,       4,      13,     -91,      15
     646,      18,      10,     -46,      24
     149,      -3,       5,     -96,      14
     916,      20,      12,     -81,      17
    1568,       8,      16,     -36,      26
      95,      19,       3,    -106,      12
    1043,       8,      13,     -76,      18
     894,       9,      12,     -86,      16
    4090,       4,      26,    -111,      11
     135,     -10,       5,     -76,      18
    1250,      30,      14,    -151,       3
      43,      19,      -1,     -81,      17
      46,      10,       2,    -116,      10
     896,      10,      12,     -81,      17
     426,      17,       8,    -116,      10
     327,      13,       7,    -151,       3
      40,       9,      -2,    -176,      -2
    1954,      -4,      18,    -121,       9
      68,      21,       2,    -166,       0
    2221,      18,      19,    -121,       9
     173,      14,      -5,    -216,     -10
     410,       9,       8,    -121,       9
       3,      -2,       1,     -71,      19
       8,      -7,      -2,     -71,      19
     511,       8,       9,    -226,     -12
     365,      32,       7,    -136,       6
      52,      15,      -2,     -96,      14
     240,       9,       6,      -6,      32
     759,      11,      11,    -131,       7
    1009,      -9,      13,    -201,      -7
    2689,      11,      21,    -106,      12
      -7,      -7,       1,    -191,      -5
     303,       1,       7,    -101,      13
     886,       5,      12,    -136,       6
     189,      22,      -5,     -61,      21
      91,      17,       3,    -146,       4
     946,      35,      12,    -126,       8
    4427,      13,      27,    -106,      12
    1079,      26,      13,    -121,       9
    1795,      22,      17,    -166,       0
    5111,      18,      29,    -121,       9
    2677,       5,      21,    -171,      -1
    1767,       8,      17,    -126,       8
    4736,       2,      28,    -181,      -3
    2703,      18,      21,    -206,      -8
    1990,      14,      18,     -21,      29
     771,      17,      11,    -131,       7
     216,       3,      -6,    -161,       1
    1055,      14,      13,    -141,       5
    3514,      17,      24,     -86,      16
    2420,       0,      20,     -96,      14
      81,      12,       3,    -111,      11
     892,       8,      12,     -41,      25
     106,       3,       4,     -31,      27
     189,      17,       5,    -116,      10
     640,      15,      10,     -86,      16
     175,      10,       5,    -136,       6
     612,      11,     -10,    -121,       9
      56,      17,      -2,    -126,       8
      28,      14,       0,    -141,       5
     112,      10,      -4,     -26,      28
     412,      18,      -8,    -166,       0
     175,      15,      -5,    -196,      -6
      96,      -2,       4,    -146,       4
     240,       9,       6,     -81,      17
     412,      10,       8,    -101,      13
    2970,      22,      22,    -106,      12
    1039,       6,      13,    -171,      -1
     167,      11,      -5,     -26,      28
    5825,      14,      31,    -216,     -10
     244,      11,       6,    -166,       0
    4766,      17,      28,    -176,      -2
    1980,       9,      18,    -126,       8
    1564,       6,      16,    -121,       9
      18,      -2,      -2,    -106,      12
     622,       6,      10,    -171,      -1
    3185,      -6,      23,    -151,       3
    1753,       1,      17,    -106,      12
    4112,      15,      26,    -206,      -8
    2245,      30,      19,    -116,      10
     163,       4,       5,    -181,      -3
     634,      12,      10,    -151,       3
    1401,      18,      15,    -111,      11
    2914,      -6,      22,    -106,      12
    2934,       4,      22,    -111,      11
     493,      -1,       9,     -61,      21
     398,      11,      -8,    -111,      11
     442,      25,       8,    -186,      -4
     376,       0,      -8,    -151,       3
    2687,      10,      21,     -41,      25
    1202,       6,      14,     -36,      26
     289,      -6,       7,     -86,      16
    1353,      -6,      15,    -191,      -5
    2225,      20,      19,    -106,      12
     313,       6,       7,     -56,      22
    5452,      11,      30,    -141,       5
    1538,      -7,      16,    -186,      -4
     337,      18,       7,    -131,       7
      45,      -3,      -3,    -106,      12
    1214,      12,      14,    -146,       4
    1783,      16,      17,    -171,      -1
     771,      17,      11,     -96,      14
    1369,       2,      15,     -61,      21
    1980,       9,      18,     -76,      18
     240,       9,       6,     -56,      22
     254,      22,      -6,     -96,      14
    3502,      11,      24,    -196,      -6
    1984,      11,      18,    -146,       4
     400,       4,       8,     -71,      19
      23,       8,       1,    -161,       1
     620,       5,      10,     -56,      22
     872,      -2,      12,    -121,       9
     491,       7,      -9,    -221,     -11
    1970,       4,      18,     -86,      16
      50,      12,       2,    -196,      -6
    1576,      12,      16,    -121,       9
    2444,      12,      20,    -261,     -19
    1757,       3,      17,    -131,       7
    1757,       3,      17,    -101,      13
    1168,       3,     -14,    -111,      11
     638,      14,      10,    -126,       8
    1584,      16,      16,     -86,      16
    3199,       1,      23,     -46,      24
     216,      -3,       6,     -71,      19
     339,      19,       7,     -51,      23
     717,     -10,      11,     -46,      24
     138,      19,       4,    -161,       1
    1618,      33,      16,     -96,      14
      38,      19,       0,    -156,       2
     791,      27,      11,    -156,       2
     202,      -4,      -6,     -86,      16
     272,      25,       6,    -106,      12
      55,      -1,       3,    -176,      -2
    1373,       4,      15,    -141,       5
      27,      11,      -1,     -66,      20
    1602,      25,      16,    -176,      -2
     242,      10,       6,    -101,      13
      29,      12,      -1,     -26,      28
    2444,      12,      20,    -116,      10
     884,       4,      12,    -111,      11
     541,      23,       9,    -161,       1
    2693,      13,      21,     -71,      19
    1403,      19,      15,    -111,      11
    5434,       2,      30,     -41,      25
    2464,      22,      20,    -136,       6
    1212,      11,      14,    -126,       8
     120,      10,       4,       4,      34
      96,      -2,       4,    -181,      -3
    3821,      23,      25,    -161,       1
    4030,       0,     -26,    -131,       7
     252,      15,       6,    -136,       6
     412,      10,       8,    -126,       8
      51,       0,      -3,    -176,      -2
    8740,      19,      38,     -61,      21
     374,      -9,       8,    -141,       5
    4034,       2,     -26,    -166,       0
    2432,       6,      20,    -201,      -7
     497,       1,       9,     -86,      16
      50,      25,       0,    -141,       5
      85,      17,      -3,    -166,       0
    1982,      10,      18,    -111,      11
    1192,       1,      14,     -76,      18
     145,       0,      -5,    -141,       5
    1552,       0,      16,    -131,       7
    1399,      17,      15,     -51,      23
      36,      18,       0,    -146,       4
      38,      19,       0,    -161,       1
      55,      24,       1,    -101,      13
    2655,      -6,      21,     -71,      19
    2685,       9,      21,     -76,      18
     305,       9,      -7,     -96,      14
    1775,      12,      17,    -141,       5
     226,       2,       6,     -66,      20
     636,      13,      10,     -66,      20
     426,      17,       8,     -56,      22
    1763,       6,      17,    -101,      13
    1063,      18,      13,     -96,      14
   10149,      11,      41,     -71,      19
     912,      18,      12,    -106,      12
     850,      -1,     -12,     -76,      18
    1379,       7,      15,    -216,     -10
    2689,      11,      21,     -81,      17
     511,       8,       9,    -141,       5
     737,      11,     -11,    -156,       2
     860,      -8,      12,    -101,      13
    3512,      16,      24,    -106,      12
    1982,      10,      18,     -71,      19
    1232,      21,      14,     -71,      19
      45,      -3,      -3,     -81,      17
     652,      21,      10,    -156,       2
    5829,      16,      31,     -61,      21
     644,      17,      10,    -166,       0
    1063,      18,      13,     -11,      31
     140,      20,       4,    -231,     -13
     640,      15,      10,    -166,       0
    2416,      -2,      20,     -51,      23
      69,       6,       3,    -126,       8
    1130,     -16,     -14,    -131,       7
     100,       4,      -4,     -86,      16
    1755,       2,      17,     -86,      16
     173,      14,      -5,    -191,      -5
      24,      12,       0,     -61,      21
      96,       2,      -4,    -116,      10
      91,      20,      -3,    -131,       7
      50,      12,       2,    -171,      -1
     630,      10,      10,     -56,      22
    1401,      18,      15,     -91,      15
      26,      13,       0,     -91,      15
    1990,      14,      18,     -76,      18
     402,       5,       8,      44,      42
     743,       3,      11,    -101,      13
      31,      13,      -1,     -96,      14
    1049,      11,      13,    -136,       6
     741,       2,      11,     -56,      22
    3494,       7,      24,    -121,       9
     155,       0,       5,    -111,      11
     737,      11,     -11,    -121,       9
     640,      15,      10,    -166,       0
     890,       7,      12,    -126,       8
    1570,       9,      16,    -196,      -6
     479,       1,      -9,     -46,      24
    2972,      23,      22,    -116,      10
    2426,       3,      20,     -56,      22
    1361,      13,     -15,    -146,       4
    1697,     -10,     -17,    -161,       1
     240,       9,       6,    -131,       7
    1371,       3,      15,    -166,       0
      35,      14,       1,    -106,      12
    2191,       3,      19,    -101,      13
     775,      19,      11,    -166,       0
     392,       0,       8,     -76,      18
    3504,      12,      24,    -116,      10
    1777,      13,      17,    -101,      13
     759,      22,     -11,     -76,      18
      94,       1,      -4,     -51,      23
      30,      15,       0,     -71,      19
    1188,      -1,      14,    -111,      11
    1743,      -4,      17,     -11,      31
     185,      15,       5,     -91,      15
     400,       4,       8,     -76,      18
    1761,       5,      17,     -31,      27
    1194,       2,      14,    -171,      -1
    1085,      29,      13,    -151,       3
      69,       9,      -3,     -61,      21
       5,       0,      -1,    -196,      -6
     173,      14,      -5,    -131,       7
    2187,       1,      19,    -116,      10
     258,      18,       6,    -146,       4
      91,      17,       3,    -131,       7
     167,       6,       5,    -231,     -13
    2189,       2,      19,    -166,       0
    1562,       5,      16,    -106,      12
