      w0,       x
       0,       0
      16,       4
      16,      -4
     441,      21
     121,     -11
       0,       0
      49,       7
     169,      13
      81,       9
      16,      -4
       1,       1
      16,      -4
     529,      23
       1,      -1
      36,       6
     625,      25
     289,      17
     484,      22
     100,      10
      81,       9
      81,       9
       4,       2
      16,      -4
     289,      17
     841,      29
      16,       4
       1,       1
     576,      24
       4,       2
     529,      23
      81,       9
      36,       6
       0,       0
     100,      10
     324,      18
     225,      15
       9,       3
       0,       0
     169,      13
     121,      11
     400,      20
     361,      19
       4,      -2
      64,       8
     256,      16
       9,       3
     169,      13
       0,       0
     441,      21
     324,      18
      49,      -7
     121,      11
    1089,      33
      81,       9
       1,       1
      81,       9
     441,      21
     121,      11
     100,      10
     169,      13
      81,       9
      49,       7
     441,      21
      64,       8
     256,      16
     441,      21
     289,      17
     441,      21
      64,       8
      81,       9
      36,       6
      16,       4
       4,       2
      16,       4
     441,      21
     100,      10
      36,       6
      36,       6
    1024,      32
     784,      28
     676,      26
      64,       8
      81,       9
     289,      17
     441,      21
     361,      19
       9,       3
     676,      26
     441,      21
     576,      24
      36,       6
     225,      15
     729,      27
     961,      31
      81,      -9
       0,       0
      49,       7
       0,       0
     361,      19
       1,       1
     289,      17
      81,       9
     196,      14
       0,       0
     400,      20
     144,      12
      25,      -5
      49,      -7
     841,      29
      49,      -7
      49,      -7
       1,      -1
       0,       0
     324,      18
       9,       3
       4,       2
      36,       6
     256,      16
      25,       5
      64,       8
     169,      13
     324,      18
     400,      20
      16,       4
      49,      -7
     169,      13
     361,      19
      49,       7
       9,       3
     289,     -17
      25,       5
     361,      19
      64,       8
     169,      13
     256,      16
       4,      -2
     576,      24
       4,       2
       9,       3
     400,      20
     196,      14
     361,      19
     441,      21
       4,      -2
     289,      17
     784,      28
      16,      -4
     144,      12
     144,      12
     324,      18
     225,      15
       4,       2
       9,       3
     400,      20
     196,      14
     100,      10
     400,      20
    1521,      39
     121,     -11
      64,       8
     400,      20
       4,      -2
     324,      18
     400,      20
      49,       7
      49,       7
     196,     -14
     625,      25
     121,      11
       0,       0
     625,      25
     676,      26
       9,       3
      16,       4
     225,      15
      81,       9
       1,       1
      64,       8
       1,      -1
     729,      27
       4,      -2
      25,       5
     900,      30
     400,      20
      25,       5
      81,       9
     676,      26
     484,      22
     100,      10
     144,      12
       1,      -1
     100,      10
     100,      10
       1,      -1
      16,       4
     225,      15
     441,      21
       9,       3
       9,       3
     121,      11
     400,      20
      25,       5
    1089,      33
     256,      16
     196,      14
      81,      -9
      49,      -7
       1,       1
     324,      18
      81,       9
      64,      -8
     100,      10
       0,       0
      64,       8
     121,      11
      81,       9
       1,       1
       9,       3
       4,      -2
     225,      15
      25,       5
      36,      -6
     196,      14
      49,       7
      25,       5
    1089,      33
      81,       9
     576,      24
     484,      22
      81,       9
     144,      12
    1444,      38
      49,       7
     841,      29
     225,      15
     144,      12
      16,       4
     729,      27
      49,       7
     400,      20
     169,      13
       0,       0
     441,      21
     441,      21
       4,       2
       0,       0
       4,       2
     144,      12
     196,      14
     289,      17
     225,      15
     169,      13
       9,       3
       9,      -3
       1,      -1
      49,       7
      36,      -6
     729,      27
     400,      20
      25,       5
     100,      10
     121,      11
     100,     -10
     100,      10
      64,       8
     256,      16
     100,      10
     676,      26
     361,      19
     196,      14
      36,       6
       1,       1
     484,      22
     100,      10
     256,      16
       1,       1
     324,      18
    1089,      33
       0,       0
     196,      14
      25,       5
     225,      15
       9,      -3
     729,      27
     324,      18
     324,      18
     625,      25
      36,       6
     529,      23
      36,       6
     225,      15
     144,      12
     729,      27
     289,      17
     121,      11
      64,       8
     324,      18
       9,      -3
     441,      21
      16,       4
     289,      17
     144,      12
       9,       3
     441,      21
     169,      13
     256,      16
     144,      12
     256,      16
      36,       6
       4,       2
     169,     -13
     324,      18
      64,      -8
      49,       7
     225,      15
     576,      24
      49,       7
      64,       8
      25,      -5
     961,      31
      64,       8
      49,       7
       4,       2
     441,      21
     121,      11
      16,      -4
     900,      30
      49,       7
     361,      19
     361,      19
      16,      -4
       4,      -2
     361,      19
      16,      -4
      16,      -4
     729,      27
     625,      25
      36,      -6
       4,       2
      36,      -6
     324,      18
     196,      14
     196,      14
     169,      13
     324,      18
     169,      13
       9,       3
      81,       9
      81,      -9
       0,       0
     225,      15
     324,      18
       9,       3
      64,      -8
     441,      21
      49,      -7
     441,     -21
     441,      21
      16,       4
     484,      22
      25,       5
     289,      17
       9,       3
     441,      21
      36,       6
      16,       4
      25,      -5
     784,      28
     196,      14
       1,      -1
      36,       6
      25,      -5
      64,       8
      64,       8
      81,       9
     361,      19
      36,       6
      49,       7
     169,      13
     196,     -14
      25,      -5
     361,      19
     441,      21
    1296,      36
     169,      13
      16,      -4
     576,      24
     121,      11
     841,      29
     529,      23
     289,      17
      49,       7
     484,      22
     169,      13
     225,      15
     400,      20
       9,       3
     289,      17
      49,       7
     484,      22
     256,      16
     196,      14
     400,      20
     625,      25
       1,      -1
     100,      10
       0,       0
     121,     -11
     196,      14
     196,      14
       4,      -2
      16,       4
      25,       5
      49,       7
     289,      17
      36,       6
       1,      -1
       9,      -3
       9,      -3
     361,      19
      36,       6
      36,       6
     400,      20
      25,       5
     144,     -12
       9,       3
      16,       4
       4,      -2
     100,      10
      16,       4
      64,       8
       1,      -1
       4,       2
       4,       2
     169,      13
     121,      11
       4,       2
